VendorName,ModelName,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
1,1,125,256,6000,256,16,128,198,199
2,1,29,8000,32000,32,8,32,269,253
2,2,29,8000,32000,32,8,32,220,253
2,3,29,8000,32000,32,8,32,172,253
2,4,29,8000,16000,32,8,16,132,132
2,5,26,8000,32000,64,8,32,318,290
2,6,23,16000,32000,64,16,32,367,381
2,7,23,16000,32000,64,16,32,489,381
2,8,23,16000,64000,64,16,32,636,749
2,9,23,32000,64000,128,32,64,1144,1238
3,1,400,1000,3000,0,1,2,38,23
3,2,400,512,3500,4,1,6,40,24
4,1,60,2000,8000,65,1,8,92,70
4,2,50,4000,16000,65,1,8,138,117
5,1,350,64,64,0,1,4,10,15
5,2,200,512,16000,0,4,32,35,64
6,1,167,524,2000,8,4,15,19,23
6,2,143,512,5000,0,7,32,28,29
6,3,143,1000,2000,0,5,16,31,22
6,4,110,5000,5000,142,8,64,120,124
6,5,143,1500,6300,0,5,32,30,35
6,6,143,3100,6200,0,5,20,33,39
6,7,143,2300,6200,0,6,64,61,40
6,8,110,3100,6200,0,6,64,76,45
7,1,320,128,6000,0,1,12,23,28
7,2,320,512,2000,4,1,3,69,21
7,3,320,256,6000,0,1,6,33,28
7,4,320,256,3000,4,1,3,27,22
7,5,320,512,5000,4,1,5,77,28
7,6,320,256,5000,4,1,6,27,27
9,1,25,1310,2620,131,12,24,274,102
9,2,25,1310,2620,131,12,24,368,102
9,3,50,2620,10480,30,12,24,32,74
9,4,50,2620,10480,30,12,24,63,74
9,5,56,5240,20970,30,12,24,106,138
9,6,64,5240,20970,30,12,24,208,136
9,7,50,500,2000,8,1,4,20,23
9,8,50,1000,4000,8,1,5,29,29
9,9,50,2000,8000,8,1,5,71,44
8,1,50,1000,4000,8,3,5,26,30
8,2,50,1000,8000,8,3,5,36,41
8,3,50,2000,16000,8,3,5,40,74
8,4,50,2000,16000,8,3,6,52,74
8,5,50,2000,16000,8,3,6,60,74
10,1,133,1000,12000,9,3,12,72,54
10,2,133,1000,8000,9,3,12,72,41
10,3,810,512,512,8,1,1,18,18
10,4,810,1000,5000,0,1,1,20,28
10,5,320,512,8000,4,1,5,40,36
10,6,200,512,8000,8,1,8,62,38
11,1,700,384,8000,0,1,1,24,34
11,2,700,256,2000,0,1,1,24,19
11,3,140,1000,16000,16,1,3,138,72
11,4,200,1000,8000,0,1,2,36,36
11,5,110,1000,4000,16,1,2,26,30
11,6,110,1000,12000,16,1,2,60,56
11,7,220,1000,8000,16,1,2,71,42
12,1,800,256,8000,0,1,4,12,34
12,2,800,256,8000,0,1,4,14,34
12,3,800,256,8000,0,1,4,20,34
12,4,800,256,8000,0,1,4,16,34
12,5,800,256,8000,0,1,4,22,34
13,1,125,512,1000,0,8,20,36,19
14,1,75,2000,8000,64,1,38,144,75
14,2,75,2000,16000,64,1,38,144,113
14,3,75,2000,16000,128,1,38,259,157
17,1,90,256,1000,0,3,10,17,18
17,2,105,256,2000,0,3,10,26,20
17,3,105,1000,4000,0,3,24,32,28
17,4,105,2000,4000,8,3,19,32,33
17,5,75,2000,8000,8,3,24,62,47
17,6,75,3000,8000,8,3,48,64,54
